id,NameEn,NameKr,GenKr,GenName
1649,Dutagen Soft Capsule mg,두타젠연질캡슐밀리그램,두타스테리드,dutasteride
1650,Dutatect Soft Capsule mg,두타텍트연질캡슐밀리그램,두타스테리드,dutasteride
1651,Dutafren Tablet Milligram,두타프렌정밀리그램,두타스테리드,dutasteride
1652,Duted Soft Capsule Milligram,두테드연질캡슐밀리그램,두타스테리드,dutasteride
1653,Duteron Soft Capsule Milligram,두테론연질캡슐밀리그램,두타스테리드,dutasteride
1654,Duteron Tablet,두테론정,두타스테리드,dutasteride
1655,Dutesmol Soft Capsule Milligram,두테스몰연질캡슐밀리그램,두타스테리드,dutasteride
1656,Dupina Tablet,두피나정,피나스테리드,finasteride
1657,Dulowin Capsule Milligram,둘로윈캡슐밀리그램,둘록세틴염산염장용과립,duloxetine enteric-coated granules
1658,Duloxa Tablet Milligram,둘록사정밀리그램,둘록세틴염산염,duloxetine
1659,Duloxe Capsule Milligram,둘록세캡슐밀리그램,둘록세틴염산염장용과립,duloxetine enteric-coated granules
1660,Dulcerin Capsule Milligram,둘세린캡슐밀리그램,둘록세틴염산염장용과립,duloxetine enteric-coated granules
1661,Dunggeunmeori Mulpopseu Gel,둥근머리물팝스겔,살리실산메틸,methyl salicylate
1662,Duglow Tablet Milligram,듀글로우정밀리그램,다파글리플로진프로판디올수화물,dapagliflozin propanediol hydrate
1663,Dunab Tablet Milligram,듀나브정밀리그램,에스암로디핀베실산염이수화물,s-amlodipine besilate dihydrate
1664,Durab Tablet Milligram,듀라브정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1665,Duracet Semi Tablet,듀라셋세미정,아세트아미노펜,acetaminophen
1666,Duratocin RTS Injection,듀라토신알티에스주,카르베토신,carbetocin
1667,Duresin Oral Disintegrating Film,듀레신구강용해필름,데스모프레신아세트산염,desmopressin acetate
1668,Durosetin Capsule Milligram,듀로세틴캡슐밀리그램,둘록세틴염산염장용과립,duloxetine enteric-coated granules
1669,Durosen Capsule Milligram,듀로센캡슐밀리그램,둘록세틴염산염과립,duloxetine granules
1670,Duroseptol Capsule Milligram,듀로셉톨캡슐밀리그램,둘록세틴염산염,duloxetine
1671,Durogesic D-Trans Patch GH,듀로제식디트랜스패취gh,펜타닐,fentanyl
1672,Durotel Tablet Milligram,듀로텔정밀리그램,텔미사르탄,telmisartan
1673,Durotin Capsule Milligram,듀로틴캡슐밀리그램,둘록세틴염산염장용과립,duloxetine enteric-coated granules
1674,Dulox Capsule Milligram,듀록스캡슐밀리그램,둘록세틴염산염장용과립,duloxetine enteric-coated granules
1675,Duloc Tablet Milligram,듀록정밀리그램,히드록시클로로퀸황산염,hydroxychloroquine sulfate
1676,Duverol Tablet Milligram,듀베롤정밀리그램,카르베딜롤,carvedilol
1677,Dubimet Sustained-Release Tablet Milligram,듀비메트서방정밀리그램,메트포르민염산염,metformin
1678,Dubimet S Sustained-Release Tablet Milligram,듀비메트에스서방정밀리그램,메트포르민염산염,metformin
1679,Dustin Tablet,듀스틴정,아토르바스타틴칼슘수화물,atorvastatin calcium hydrate
1680,Duavive Tablet Milligram,듀아비브정밀리그램,결합형에스트로겐4.29%,conjugated estrogens 4.29%
1681,Duac Gel,듀악겔,클린다마이신포스페이트,clindamycin phosphate
1682,Duaklir Genuair Microgram,듀어클리어제뉴에어마이크로그램,아클리디니움브롬화물(미분화),aclidinium bromide (micronized)
1683,Dualdown Tablet Milligram,듀얼다운정밀리그램,암로디핀베실산염,amlodipine besilate
1684,Duallet Capsule,듀얼렛캡슐,클로피도그렐황산염,clopidogrel sulfate
1685,Dualrow Tablet Milligram,듀얼로우정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1686,Dualsartan Tablet,듀얼살탄정,텔미사르탄,telmisartan
1687,Dualset Sustained-Release Tablet,듀얼셋서방정,아세트아미노펜,acetaminophen
1688,Dualset Tablet,듀얼셋정,아세트아미노펜,acetaminophen
1689,Dualstar Tablet Milligram,듀얼스타정밀리그램,텔미사르탄파우더(23.9%),telmisartan powder (23.9%)
1690,Dualami Tablet,듀얼아미정,텔미사르탄,telmisartan
1691,Dualato Tablet Milligram,듀얼아토정밀리그램,에제티미브,ezetimibe
1692,Dualex Tablet,듀얼엑스정,발사르탄,valsartan
1693,Dualtera Tablet Milligram,듀얼테라정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1694,Dualpeco Tablet Milligram,듀얼페코정밀리그램,아토르바스타틴칼슘수화물,atorvastatin calcium hydrate
1695,Duay Tablet,듀에이정,아토르바스타틴칼슘수화물,atorvastatin calcium hydrate
1696,Duotan Tablet,듀오탄정,시타글립틴염산염수화물,sitagliptin hydrate
1697,Duonex Dry Syrup,듀오넥스건조시럽,아목시실린수화물,amoxicillin hydrate
1698,Duonon Tablet Milligram,듀오논정밀리그램,로수바스타틴칼슘,rosuvastatin calcium
1699,Duodine Semi Tablet,듀오다인세미정,아세트아미노펜,acetaminophen
1700,Duodine Tablet,듀오다인정,트라마돌염산염,tramadol
1701,Duodart Capsule,듀오다트캡슐,두타스테리드,dutasteride
1702,Duorespi Spiromax,듀오레스피스피로맥스마이크로그램,부데소니드,budesonide
1703,Duoray Injection,듀오레이주사밀리그램,요오딕사놀,iodixanol
1704,Duorovan Tablet,듀오로반정밀리그램로수바스타틴칼슘,에제티미브(미분화),ezetimibe (micronized)
1705,Duosimba Tablet,듀오심바정밀리그램,다파글리플로진시트르산,dapagliflozin citrate
1706,Duolix Tablet,듀오릭스정,아토르바스타틴칼슘수화물,atorvastatin calcium hydrate
1707,Roxpin Tablet,록스핀정,아토르바스타틴칼슘수화물,atorvastatin calcium hydrate
1708,Duomet XR Tablet,듀오메트엑스알정밀리그램,메트포르민염산염,metformin
1709,Duobactam Tablet,듀오박탐정밀리그램,아목시실린수화물,amoxicillin hydrate
1710,Duov Tablet,듀오브이정,아토르바스타틴칼슘,atorvastatin calcium
1711,Duocet Tablet,듀오셋정,아세트아미노펜,paracetamol
1712,Duosuk Tablet,듀오스크정밀리그램,아토르바스타틴칼슘수화물,atorvastatin calcium hydrate
1713,Duostar Tablet,듀오스타정밀리그램,텔미사르탄,telmisartan
1714,Duoact Tablet,듀오액트정밀리그램,아토르바스타틴칼슘,atorvastatin calcium
1715,Duoactin Tablet,듀오액틴정,무수아토르바스타틴칼슘,anhydrous atorvastatin calcium
1716,Duoem Tablet,듀오엠정밀리그램,텔미사르탄,telmisartan
1717,Duowell A Tablet,듀오웰에이정밀리그램,텔미사르탄,telmisartan
1718,Duowell A Plus Tablet,듀오웰에이플러스정밀리그램,텔미사르탄,telmisartan
1719,Duowell Tablet,듀오웰정밀리그램,텔미사르탄,telmisartan
1720,Duowell Plus Tablet,듀오웰플러스정밀리그램,텔미사르탄,telmisartan
1721,Duojoin Tablet,듀오조인정,세레콕시브,celecoxib
1722,Duotelmi Tablet,듀오텔미정밀리그램,텔미사르탄,telmisartan
1723,Duotorin Tablet,듀오토린정,에제티미브,ezetimibe
1724,Duopogi Tablet,듀오포지정밀리그램,발사르탄,valsartan
1725,Duopito Tablet,듀오피토정밀리그램,아토르바스타틴칼슘삼수화물,atorvastatin calcium trihydrate
1726,Duistar Tablet,듀이스타정,텔미사르탄,telmisartan
1727,Duizen Tablet,듀이젠정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1728,Dukanazen Tablet,듀카나젠정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1729,Dukanova Tablet,듀카노바정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1730,Dukaro Tablet,듀카로정밀리그램,피마사르탄칼륨삼수화물과립,fimasartan trihydrate granules
1731,Dukab Tablet,듀카브정밀리그램,피마사르탄칼륨삼수화물과립,fimasartan trihydrate granules
1732,Dukaelbi Tablet,듀카엘비정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1733,Dukaem Tablet,듀카엠정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1734,Dukapogi Tablet,듀카포지정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1735,Dukapin Tablet,듀카핀정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1736,Duchem Bio FDG Injection Solution,듀켐바이오에프디지주사액,2-데옥시-2-플루오로-디-글루코스(18F),fludeoxyglucose (18f)
1737,Dukor Tablet,듀코르정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
1738,Ducon Tablet,듀콘정,폴리카르보필칼슘,polycarbophil calcium
1739,Dukraduo Tablet,듀크라듀오정밀리그램,아목시실린수화물,amoxicillin hydrate
1740,Dukpogi Tablet,듀크포지정밀리그램,발사르탄,valsartan
1741,Dutagren Tablet,듀타그렌정,두타스테리드,dutasteride
1742,Dutadin Tablet,듀타딘정밀리그램,아토르바스타틴칼슘,atorvastatin calcium
1743,Dutor Tablet,듀토르정밀리그램,에제티미브,ezetimibe
1744,Duphaston Tablet,듀파스톤정,디드로게스테론,dydrogesterone
1745,Dupenyl Patch,듀페닐패취gh,펜타닐,fentanyl
1746,Dulota Capsule,듈로타캡슐밀리그램,둘록세틴염산염장용과립,duloxetine enteric-coated granules
1747,Drabe Tablet,드라베정밀리그램,라베프라졸나트륨,rabeprazole
1748,Dronel Tablet,드로넬정밀리그램,리세드론산나트륨일수화물,risedronate monohydrate
1749,Droban Tablet,드로반정밀리그램,이반드론산나트륨일수화물,ibandronate monohydrate
1750,Drobon Tablet,드로본정밀리그램,이반드론산나트륨일수화물,ibandronate monohydrate
1751,Drop Tab.,드로프정,레보드로프로피진,levodropropizine
1752,Dropijin Syrup,드로피진시럽,레보드로프로피진,levodropropizine
1753,Dropijin CR Tab.,드로피진씨알서방정,레보드로프로피진,levodropropizine
1754,Dropijin Tab.,드로피진정,레보드로프로피진,levodropropizine
1755,Droktin Capsule,드록틴캡슐밀리그램,둘록세틴염산염,duloxetine
1756,Droptop Tab.,드롭탑정밀리그램,에제티미브,ezetimibe
1757,D-Base Oral Solution,디베이스경구솔루션mL,콜레칼시페롤,colecalciferol
1758,D-Base Oral Drops,디베이스경구드롭스mL,콜레칼시페롤,colecalciferol
1759,Digenta Eye Drops,디겐타점안액,겐타마이신황산염,gentamicin sulfate
1760,Dinazol Capsule,디나졸캡슐,플루코나졸,fluconazole
1761,Dinacan Capsule,디나칸캡슐,플루코나졸,fluconazole
1762,Dinax Tab.,디낙스정,디클로페낙나트륨,diclofenac
1763,Dinax Tab.,디낙스정밀리그램,디클로페낙나트륨,diclofenac
1764,Dinogen Tab.,디노겐정,칼리디노게나제,kallidinogenase
1765,Dinudex Inj.,디뉴덱스주,슈가마덱스나트륨,sugammadex
1766,Dinicef Capsule,디니세프캡슐밀리그램,세프디니르,cefdinir
1767,Didicell Tab.,디디셀정,비페닐디메틸디카르복실레이트,biphenyl dimethyl dicarboxylate
1768,DDAVP Tab.,디디에이브이피정,데스모프레신아세트산염,desmopressin acetate
1769,Diraen Tab.,디라엔정,디에노게스트,dienogest
1770,Dirant Tab.,디란트정밀리그램,카르베딜롤,carvedilol
1771,Direa Tab.,디레어정밀리그램,몬테루카스트나트륨,montelukast
1772,Direin Capsule,디레인캡슐,디아세레인,diacerein
1773,Diroba Tab.,디로바정,암로디핀베실산염,amlodipine besilate
1774,Dirosta Tab.,디로스타정밀리그램,아토르바스타틴칼슘,atorvastatin calcium
1775,Dirocan Capsule,디로칸캡슐,플루코나졸,fluconazole
1776,Dirocan Capsule,디로칸캡슐밀리그램,플루코나졸,fluconazole
1777,Dirotan Tab.,디로탄정,발사르탄,valsartan
1778,Dirotan Plus Tab.,디로탄플러스정,발사르탄,valsartan
1779,Diropoji Tab.,디로포지정밀리그램,발사르탄,valsartan
1780,Diroxaban Tab.,디록사반정밀리그램,리바록사반,rivaroxaban
1781,Dilucan Tab.,디루칸정밀리그램,플루코나졸,fluconazole
1782,Dilucan Capsule,디루칸캡슐,플루코나졸,fluconazole
1783,Dilutol SR Tab.,디루톨에스알정밀리그램,톨터로딘-L-타르타르산염,tolterodine l-tartrate
1784,Dirtan Tab.,디르탄정밀리그램,발사르탄,valsartan
1785,Dimapormin Sustained-release Tab.,디마폴민서방정,메트포르민염산염,metformin
1786,Dimantin Tab.,디만틴정밀리그램,메만틴염산염,memantine
1787,Dimax Tab. IU,디맥정아이유,농축콜레칼시페롤과립,concentrated colecalciferol granules
1788,Dimerid Tab.,디메리드정밀리그램,글리메피리드,glimepiride
1789,Dimeril M Tab.,디메릴엠정밀리그램,글리메피리드,glimepiride
1790,Dimeril Tab.,디메릴정밀리그램,글리메피리드,glimepiride
1791,Dimeco Tab.,디메코정,디메크로틴산마그네슘,dimecrotic acid magnesium
1792,Dimecron Tab.,디메크론정,디메크로틴산마그네슘,dimecrotic acid magnesium
1793,Dimecl Tab.,디메클정,디메크로틴산마그네슘,dimecrotic acid magnesium
1794,Dimetal Tab.,디메탈정,디메크로트산마그네슘,dimecrotic acid magnesium
1795,Dimetin Tab.,디메틴정,디메크로틴산마그네슘,dimecrotic acid magnesium
1796,Dimepro Tab.,디메프로정,디메크로틴산마그네슘,dimecrotic acid magnesium
1797,Dimepia Tab.,디메피아정,디메크로틴산마그네슘,dimecrotic acid magnesium
1798,Dimendone Tab.,디멘도네정밀리그램,도네페질염산염수화물,donepezil hydrate
1799,Dimenlis Capsule,디멘리스캡슐밀리그램,리바스티그민타르타르산염,rivastigmine tartrate
1800,Dimensa Tab.,디멘사정,메만틴염산염,memantine
1801,Dimentsept,디멘셉트구강붕해필름밀리그램,도네페질염산염,donepezil
1802,Dimensol,디멘솔정밀리그램,도네페질염산염일수화물,donepezil monohydrate
1803,Dimenstar,디멘스타정,콜린알포세레이트,choline alfoscerate
1804,Dimenza,디멘자정,메만틴염산염,memantine
1805,Dimencare,디멘케어정밀리그램,도네페질염산염일수화물,donepezil monohydrate
1806,Dimencolin,디멘콜린정,콜린알포세레이트,choline alfoscerate
1807,Rivaderm,리바덤패취,리바스티그민,rivastigmine
1808,Dimento,디멘토정,콜린알포세레이트,choline alfoscerate
1809,Dista,디스타정밀리그램,도네페질염산염수화물,donepezil hydrate
1810,Dimenpezil,디멘페질구강붕해정밀리그램,도네페질염산염수화물,donepezil hydrate
1811,Dimenpezil,디멘페질정밀리그램,도네페질염산염수화물,donepezil hydrate
1812,Dimurocan,디무로칸정밀리그램,플루코나졸,fluconazole
1813,Dimurocan,디무로칸캡슐밀리그램,플루코나졸,fluconazole
1814,Divaltan,디발탄정밀리그램,발사르탄,valsartan
1815,Divaltan,디발탄플러스정밀리그램,발사르탄,valsartan
1816,Divalpro,디발프로서방정밀리그램,디발프로엑스나트륨,divalproex
1817,Diverin,디베린엠알정,글리클라짓,gliclazide
1818,Divigel,디비겔겔,에스트라디올반수화물,estradiol hemihydrate
1819,Divina,디비나정,에스트라디올 발레레이트,estradiol valerate
1820,Dibidi,디비디정,비페닐디메틸디카르복실레이트,biphenyl dimethyl dicarboxylate
1821,Disar,디사르정,발사르탄,valsartan
1822,Disaltan,디살탄정밀리그램,발사르탄,valsartan
1823,Diseden,디세든플러스정,리세드론산나트륨2.5수화물,risedronate 2.5 hydrate
1824,Uldiem,울디엠캡슐,디아세레인,diacerein
1825,Diseren,디세렌캡슐,디아세레인,diacerein
1826,Diserin,디세린캡슐,디아세레인,diacerein
1827,Disea,디세아캡슐밀리그램,디아세레인,diacerein
1828,Disefin,디세핀정,독소필린,doxofylline
1829,Diseliin,디셀리인캡슐,디아세레인,diacerein
1830,Diselin,디셀린캡슐,디아세레인,diacerein
1831,Disolin,디솔린정,메틸프레드니솔론,methylprednisolone
1832,Disgren,디스그렌장용과립캡슐,트리플루살장용성과립,triflusal
1833,Disrocin,디스로신캡슐밀리그램,실로도신,silodosin
1834,Dismec,디스멕정,디메크로트산마그네슘,magnesium dimecrotate
1835,Dismotin,디스모틴정밀리그램,모사프리드시트르산염수화물,mosapride citrate hydrate
1836,Diszyme,디스자임정,디메크로틴산마그네슘,magnesium dimecrotate
1837,Diszaltan,디스잘탄정밀리그램,암로디핀베실산염,amlodipine besilate
1838,Discobisk,디스코비스크주,히알루론산나트륨,sodium hyaluronate
1839,Disterin,디스테린캡슐,디아세레인,diacerein
1840,Distocid,디스토시드정군납명프라지콴텔정,프라지콴텔,praziquantel
1841,Dispeptin,디스펩틴정,모사프리드시트르산염수화물,mosapride citrate hydrate
1842,Dispozi,디스포지정,발사르탄,valsartan
1843,Dispozin,디스포진정밀리그램,팜시클로비르,famciclovir
1844,Dispeed,디스피드정,레보설피리드,levosulpiride
1845,Diagnogreen,디아그노그린주,인도시아닌그린,indocyanine green
1846,Diagrilmex,디아그릴멕스서방정밀리그램,글리메피리드,glimepiride
1847,Diagrilem,디아그릴엠정밀리그램,글리메피리드,glimepiride
1848,Diagril,디아그릴정밀리그램,글리메피리드,glimepiride
1849,Diagly,디아글리정밀리그램,보글리보스,voglibose
1850,Diaglip,디아글립정밀리그램,시타글립틴인산염수화물,sitagliptin phosphate hydrate
1851,Diadin,디아딘정,암로디핀베실산염,amlodipine besilate
1852,Diarein,디아레인캡슐밀리그램,디아세레인,diacerein
1853,Diaren,디아렌캡슐,디아세레인,diacerein
1854,Diaron,디아론캡슐,디아세레인,diacerein
1855,Diarid M,디아리드엠정밀리그램,글리메피리드,glimepiride
1856,Diarid,디아리드정밀리그램,글리메피리드,glimepiride
1857,Diarin,디아린캡슐,디아세레인,diacerein
1858,Diaryl,디아릴정,글리메피리드,glimepiride
1859,Diaryl,디아릴정밀리그램,글리메피리드,glimepiride
1860,Diamicron MR,디아미크롱서방정밀리그램,글리클라지드,gliclazide
1861,Diamin,디아민정,글리클라짓,gliclazide
1862,Diasen,디아센캡슐,디아세레인,diacerein
1863,Diaceron,디아세론캡슐밀리그램,디아세레인,diacerein
1864,Diacerin,디아세린캡슐,디아세레인,diacerein
1865,Diacel,디아셀캡슐밀리그램,디아세레인,diacerein
1866,Diasol S,디아솔에스액,포도당,glucose
1867,Diastin,디아스틴정,티옥트산,thioctic acid
1868,Diasita,디아시타정밀리그램,시타글립틴인산염수화물,sitagliptin phosphate hydrate
1869,Diasin,디아신캡슐,디아세레인,diacerein
1870,Diase,디아제정,디메크로틴산마그네슘,dimecrotic acid magnesium
1871,Diasen,디아젠캡슐,디아세레인,diacerein
1872,Diasenta,디아젠타정,리나글립틴,linagliptin
1873,Diacoron,디아코론정,암브록솔염산염,ambroxol
1874,Diat,디아트캡슐,디아세레인,diacerein
1875,Diapolmin,디아폴민정,염산메트포르민,metformin
1876,Dearmedi M,디어메디엠정밀리그램,글리메피리드,glimepiride
1877,Dearmedi,디어메디정,글리메피리드,glimepiride
1878,Dearcodi,디어코디정,나테글리니드,nateglinide
1879,Dearcure Eye Drops,디어큐어점안액,디쿠아포솔나트륨,diquafosol
1880,Dieno,디에노정,디에노게스트(미분화),dienogest (micronized)
1881,Dienon,디에논정,디에노게스트,dienogest
1882,DS Ban,디에스반정밀리그램,발사르탄,valsartan
1883,DSO,디에스오정밀리그램,에스오메프라졸마그네슘이수화물,esomeprazole magnesium dihydrate
1884,DS Plus,디에스플러스정밀리그램,시타글립틴염산염수화물,sitagliptin hydrate
1885,Diejan,디에잔정,디에노게스트(미분화),dienogest (micronized)
1886,DH Dex Solution,디에취덱스호액,탄산수소나트륨,sodium bicarbonate
1887,DH Dex Liquid,디에취덱스액,염화나트륨,sodium chloride
1888,Diethyl,디에칠정,디에틸프로피온염산염,diethylpropion
1889,DL Posi,디엘포지정밀리그램,발사르탄,valsartan
1890,DM Duo,디엠듀오정밀리그램,도네페질염산염수화물,donepezil hydrate
1891,DM Met,디엠메트정밀리그램,염산피오글리타존,pioglitazone
1892,DM,디엠정,돔페리돈말레산염,domperidone maleate
1893,DM Tatin,디엠타틴정,피타바스타틴칼슘수화물,pitavastatin calcium hydrate
1894,DMP,디엠피정,피오글리타존염산염,pioglitazone
1895,Diodipin,디오디핀정밀리그램,발사르탄,valsartan
1896,Dioten,디오텐정,발사르탄,valsartan
1897,Diortan,디오르탄정,발사르탄,valsartan
1898,Diortan,디오르탄정밀리그램,발사르탄,valsartan
1899,Diovan Film-Coated Tablet,디오반필름코팅정밀리그램,발사르탄,valsartan
1900,Diotan,디오탄정밀리그램,발사르탄,valsartan
1901,DiOV,디오브이정,발사르탄,valsartan
1902,Diozaltan,디오잘탄정,발사르탄,valsartan
1903,Diotan Plus,디오탄플러스정,발사르탄,valsartan
1904,Diotech,디오테크정밀리그램,발사르탄,valsartan
1905,Dioten Plus,디오텐플러스정,발사르탄,valsartan
1906,Diopass,디오패스정밀리그램,발사르탄,valsartan
1907,Diophil,디오필정밀리그램,독소필린,doxofylline
1908,Dioxide HR,디옥시드에이취알정밀리그램,티옥트산,thioctic acid
1909,Diwaren,디워렌정,트라마돌염산염,tramadol
1910,Dizartan,디자르탄정,발사르탄,valsartan
1911,Dizantin,디잔틴정밀리그램,발사르탄,valsartan
1912,Digetal,디제탈정,디메크로틴산마그네슘,dimecrotic acid magnesium
1913,Dicarvem,디카베엠정밀리그램,카르베딜롤,carvedilol
1914,Dicarvem,디카베엠정,카르베딜롤,carvedilol
1915,Dicazol,디카졸정밀리그램,플루코나졸,fluconazole
1916,Diconazol,디코나졸캡슐밀리그램,플루코나졸,fluconazole
1917,Diqumo,디쿠모점안액,디쿠아포솔나트륨,diquafosol
1918,Diqusol,디쿠솔점안액,디쿠아포솔나트륨,diquafosol
1919,Diqus,디쿠스점안액디쿠스점안액,디쿠아포솔나트륨,diquafosol
1920,Diquaday,디쿠아데이점안액,디쿠아포솔나트륨,diquafosol
1921,Diquaron,디쿠아론점안액디쿠아론점안액,디쿠아포솔나트륨,diquafosol
1922,Diquasol,디쿠아솔점안액디쿠아솔점안액,디쿠아포솔나트륨,diquafosol
1923,Diquas S,디쿠아스에스점안액,디쿠아포솔나트륨,diquafosol
1924,Diquas LX,디쿠아스엘엑스점안액,디쿠아포솔나트륨,diquafosol
1925,Diqua F,디쿠아에프점안액,디쿠아포솔나트륨,diquafosol
1926,Diqua M,디쿠아엠점안액,디쿠아포솔나트륨,diquafosol
1927,Diqua I,디쿠아이점안액,디쿠아포솔나트륨,diquafosol
1928,Diquain,디쿠아인점안액디쿠아인점안액,디쿠아포솔나트륨,diquafosol
1929,Diquafol,디쿠아폴점안액디쿠아폴점안액,디쿠아포솔나트륨,diquafosol
1930,Diquafree,디쿠아프리점안액,디쿠아포솔나트륨,diquafosol
1931,Diqualon,디쿠알론점안액,디쿠아포솔나트륨,diquafosol
1932,Dicran,디크란점안액,디클로페낙나트륨,diclofenac
1933,Dicripin SR,디크리핀서방정밀리그램,펠로디핀,felodipine
1934,Diclo,디클로주밀리리터,디클로페낙β-디메틸아미노에탄올,diclofenac beta-dimethylaminoethanol
1935,Ditaxel,디탁셀주,도세탁셀삼수화물,docetaxel trihydrate
1936,Diterodine SR,디터로딘에스알캡슐밀리그램,톨터로딘-L-타르타르산염,tolterodine l-tartrate
1937,Ditension,디텐션정밀리그램,발사르탄,valsartan
1938,Dituo Gel,디투오겔,아다팔렌,adapalene
1939,Diturin,디튜린정밀리그램,데스모프레신아세트산염,desmopressin acetate
1940,Ditra,디트라정,이트라코나졸고체분산체,itraconazole solid dispersion
1941,Ditruverin,디트루베린정,프로피베린염산염,propiverine
1942,Detrusitol SR,디트루시톨SR캡슐,톨터로딘-L-타르타르산염,tolterodine l-tartrate
1943,Detrusitol,디트루시톨정,엘주석산톨터로딘,tolterodine l-tartrate
1944,Dipaglu M SR,디파글루엠서방정밀리그램,다파글리플로진프로판디올수화물,dapagliflozin propanediol hydrate
1945,Dipaglu,디파글루정밀리그램,다파글리플로진프로판디올수화물,dapagliflozin propanediol hydrate
1946,Diphereline SR,디페렐린에스알주밀리그램,트립토렐린파모산염,triptorelin pamoate
1947,Diperisone SR,디페리손서방정,에페리손염산염,eperisone
1948,Dipensa,디펜사정,트록시피드,troxipide
1949,Dipentidine,디펜티딘정밀리그램,라푸티딘,lafutidine
1950,Dipoteri M SR,디포테리엠서방정밀리그램,테네리글립틴염산염수화물,teneligliptin hydrate
1951,Difuran Capsule Milligram,디푸란캡슐밀리그램,플루코나졸,fluconazole
1952,Difuronal Tablet Milligram,디푸로날정밀리그램,플로로글루시놀수화물,phloroglucinol hydrate
1953,Difuro Tablet Milligram,디푸로정밀리그램,에스시탈로프람옥살산염,escitalopram oxalate
1954,Diflucan Dry Syrup,디푸루칸건조시럽,플루코나졸,fluconazole
1955,Diflucan Intravenous Injection,디푸루칸정맥주사,플루코나졸,fluconazole
1956,Diflucan Capsule,디푸루칸캡슐,플루코나졸,fluconazole
1957,Difucan Capsule,디푸칸캡슐,플루코나졸,fluconazole
1958,Difuco Lotion,디푸코로션,디플루코르톨론발레레이트,diflucortolone valerate
1959,Difuco Ointment,디푸코연고,디플루코르톨론발레레이트,diflucortolone valerate
1960,Difrexa Extended-Release Capsule,디프렉사서방캡슐,염산벤라팍신펠렛,venlafaxine pellets
1961,Difren Capsule,디프렌캡슐,플루옥세틴염산염,fluoxetine
1962,Difron Tablet,디프론정,티아넵틴나트륨,tianeptine
1963,Difluzol Capsule,디프루졸캡슐,플루코나졸,fluconazole
1964,Difsetin Capsule,디프세틴캡슐,플루옥세틴염산염,fluoxetine
1965,Diflo Tablet Milligram,디플로정밀리그램,다파글리플로진프로판디올수화물,dapagliflozin propanediol hydrate
1966,Difluzol Capsule Milligram,디플루졸캡슐밀리그램,플루코나졸,fluconazole
1967,Diflu Injection,디플루주사,플루코나졸,fluconazole
1968,Dipianox Extended-Release Capsule,디피아녹스서방캡슐,디피리다몰,dipyridamole
1969,Dipinstar Tablet,디핀스타정,무수아토르바스타틴칼슘,anhydrous atorvastatin calcium
1970,Dihurex Capsule,디후렉스캡슐,플루코나졸,fluconazole
1971,Dilavedil Tablet,딜라베딜정,카르베딜롤,carvedilol
1972,Dilastine Nasal Spray,딜라스틴나잘스프레이,아젤라스틴염산염,azelastine
1973,Dilagen Tablet,딜라젠정,카르베딜롤,carvedilol
1974,Dilagen Tablet Milligram,딜라젠정밀리그램,카르베딜롤,carvedilol
1975,Dilatrend SR Tablet Milligram,딜라트렌에스알정밀리그램,카르베딜롤 과립,carvedilol granules
1976,Dilatrend SR Capsule Milligram,딜라트렌에스알캡슐밀리그램,카르베딜롤과립,carvedilol granules
1977,Lanozol Tablet Milligram,라노졸정밀리그램,란소프라졸,lansoprazole
1978,Lanofen Semi Tablet,라노펜세미정,트라마돌염산염,tramadol
1979,Ranigle Duo Tablet Milligram,라니글듀오정밀리그램,메트포르민염산염,metformin
1980,Ranidase Injection,라니다제주,히알우로니다제,hyaluronidase
1981,Ranidan Tablet Milligram,라니단정밀리그램,라니티딘염산염,ranitidine
1982,Ranidon Tablet Milligram,라니돈정밀리그램,라니티딘염산염,ranitidine
1983,Ranidro Tablet,라니드로정,라니티딘염산염,ranitidine
1984,Ranidiem Tablet Milligram,라니디엠정밀리그램,라시디핀,lacidipine
1985,Ranimet Tablet,라니메트정,라니티딘염산염,ranitidine
1986,Ranimus D Tablet,라니무스디정,라니티딘염산염,ranitidine
1987,Ranibis D Tablet,라니비스디정,비스무트시트르산염칼륨,bismuth citrate
1988,Ranibis Tablet,라니비스정,라니티딘염산염,ranitidine
1989,Ranibit Tablet,라니비트정,라니티딘염산염,ranitidine
1990,Ranibig S Tablet,라니빅에스정,라니티딘염산염,ranitidine
1991,Ranibig Tablet Milligram,라니빅정밀리그램,라니티딘염산염,ranitidine
1992,Ranisen Tablet,라니센정,라니티딘염산염,ranitidine
1993,Ranisca Tablet,라니스카정,라니티딘염산염,ranitidine
1994,Raniem Tablet Milligram,라니엠정밀리그램,라니티딘염산염,ranitidine
1995,Ranizan Tablet,라니잔정,라니티딘염산염,ranitidine
